<root>
  <name value="Multiple Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="1"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0"/>
</root>

--------------------------
28878.28 C L2 0
28879.78 C L1 13
28879.78 C L2 0
28896.16 C L1 14
28896.16 C L2 0
28902.09 C L1 15
28902.09 C L2 0
28905.43 C L1 16
28905.43 C L2 0
28910.59 C L1 17
28910.59 C L2 0
28911.34 C L1 18
28911.34 C L2 0
28936.80 C L1 19
28936.80 C L2 0
28953.12 C L1 20
28953.12 C L2 0
28984.73 C L1 19
28984.73 C L2 0
28998.08 C L1 20
28998.08 C L2 0
29005.68 A L1
29005.68 P L1 1.0 0:0.050 20:0.084 40:0.105 60:0.119 80:0.125 100:0.124 120:0.117 140:0.104 160:0.088 180:0.082
29005.68 C L1 21
29005.68 C L2 0
29012.71 C L1 22
29012.71 C L2 0
29038.38 A L1
29038.38 P L1 1.0 0:0.045 20:0.082 40:0.105 60:0.119 80:0.125 100:0.125 120:0.117 140:0.105 160:0.088 180:0.089
29038.38 C L1 23
29038.38 C L2 0
29039.46 C L1 24
29039.46 C L2 0
29043.97 C L1 25
29043.97 C L2 0
29067.21 C L1 26
29067.21 C L2 0
29076.99 C L1 27
29076.99 C L2 0
29114.55 C L1 28
29114.55 C L2 0
29121.69 C L1 28
29121.69 C L2 1
29136.19 C L1 29
29136.19 C L2 1
29140.32 C L1 30
29140.32 C L2 1
29141.55 A L1
29141.55 P L1 1.0 0:0.060 20:0.095 40:0.114 60:0.125 80:0.128 100:0.124 120:0.114 140:0.099 160:0.078 180:0.064
29141.55 C L1 31
29141.55 C L2 1
29154.19 C L1 32
29154.19 C L2 1
29158.91 C L1 33
29158.91 C L2 1
29160.84 C L1 33
29160.84 C L2 2
29161.70 C L1 33
29161.70 C L2 3
29193.21 C L1 33
29193.21 C L2 4
29223.87 C L1 34
29223.87 C L2 4
29234.15 C L1 34
29234.15 C L2 5
29250.63 C L1 35
29250.63 C L2 5
29256.81 C L1 36
29256.81 C L2 5
29259.01 C L1 37
29259.01 C L2 5
29287.49 C L1 38
29287.49 C L2 5
29288.11 C L1 39
29288.11 C L2 5
29289.46 C L1 40
29289.46 C L2 5
29290.45 C L1 41
29290.45 C L2 5
29292.73 C L1 42
29292.73 C L2 5
29315.31 C L1 43
29315.31 C L2 5
29326.25 C L1 44
29326.25 C L2 5
29339.76 C L1 45
29339.76 C L2 5
29355.28 C L1 46
29355.28 C L2 5
29357.98 C L1 47
29357.98 C L2 5
29365.99 C L1 48
29365.99 C L2 5
29376.53 C L1 49
29376.53 C L2 5
29379.06 A L1
29379.06 P L1 1.0 0:0.089 20:0.121 40:0.133 60:0.136 80:0.132 100:0.121 120:0.104 140:0.082 160:0.054 180:0.028
29379.06 C L1 50
29379.06 C L2 5
29383.39 C L1 51
29383.39 C L2 5
29392.78 C L1 52
29392.78 C L2 5
29402.15 C L1 53
29402.15 C L2 5
29414.08 C L1 54
29414.08 C L2 5
29424.67 C L1 55
