<root>
  <name value="Slow Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <rate length="6H" arrival="60H" departure="10H"/>
  <rate length="6H" arrival="10H" departure="60H"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="2"/>
  <estimation error="0.2" interval="900.0" seed="None" search="1.0" monitored="0.0870719029117"/>
</root>

--------------------------
21724.11 C L2 0
21831.99 C L1 4
21831.99 C L2 0
21870.84 C L1 5
21870.84 C L2 0
21878.99 C L1 6
21878.99 C L2 0
21905.13 C L1 5
21905.13 C L2 0
22028.80 C L1 6
22028.80 C L2 0
22048.90 C L1 7
22048.90 C L2 0
22186.79 C L1 6
22186.79 C L2 0
22205.26 C L1 7
22205.26 C L2 0
22222.24 C L1 8
22222.24 C L2 0
22250.23 C L1 9
22250.23 C L2 0
22290.82 C L1 8
22290.82 C L2 0
22364.39 C L1 9
22364.39 C L2 0
22420.94 C L1 10
22420.94 C L2 0
22459.46 C L1 11
22459.46 C L2 0
22514.07 C L1 12
22514.07 C L2 0
22557.30 C L1 11
22557.30 C L2 0
22784.29 C L1 12
22784.29 C L2 0
22792.52 C L1 12
22792.52 C L2 1
21338.64 P* L1 0.988255071288 0:0.048 20:0.065 40:0.089 60:0.107 80:0.120 100:0.127 120:0.127 140:0.119 160:0.102 180:0.096
22238.64 P* L1 0.982997394699 0:0.056 20:0.065 40:0.087 60:0.106 80:0.118 100:0.125 120:0.124 140:0.116 160:0.099 180:0.104
21338.64 P* L2 0.949002215433 0:0.136 20:0.090 40:0.090 60:0.091 80:0.091 100:0.091 120:0.091 140:0.090 160:0.090 180:0.140
22238.64 P* L2 0.948936383486 0:0.136 20:0.090 40:0.090 60:0.091 80:0.091 100:0.091 120:0.091 140:0.090 160:0.090 180:0.140
22797.35 A L1
22797.35 P L1 1.0 0:0.053 20:0.081 40:0.101 60:0.117 80:0.126 100:0.128 120:0.123 140:0.109 160:0.087 180:0.075
22797.35 P L2 0.948876415931 0:0.136 20:0.090 40:0.090 60:0.091 80:0.091 100:0.091 120:0.091 140:0.090 160:0.090 180:0.140
22797.35 C L1 13
22797.35 C L2 1
22823.25 C L1 14
22823.25 C L2 1
22825.12 D L2
22825.12 P L1 0.984645511261 0:0.062 20:0.078 40:0.099 60:0.115 80:0.124 100:0.126 120:0.121 140:0.107 160:0.085 180:0.083
22825.12 P L2 1.0 0:0.089 20:0.100 40:0.100 60:0.101 80:0.101 100:0.101 120:0.101 140:0.101 160:0.100 180:0.104
22825.12 C L1 14
22825.12 C L2 0
22829.04 C L1 15
22829.04 C L2 0
22870.89 C L1 16
22870.89 C L2 0
22924.64 C L1 15
22924.64 C L2 0
